credit_limit,gender,education,marital_status,age,pay_status_1,pay_status_2,pay_status_3,pay_status_4,pay_status_5,pay_status_6,bill_amount_1,bill_amount_2,bill_amount_3,bill_amount_4,bill_amount_5,bill_amount_6,payment_amount_1,payment_amount_2,payment_amount_3,payment_amount_4,payment_amount_5,payment_amount_6,default_next_month,num_delayed_payments,max_payment_delay,avg_payment_delay,recent_payment_delay,avg_bill_amount,avg_payment_amount,total_bill_amount,total_payment_amount,payment_to_bill_ratio,credit_utilization,avg_positive_bill,payment_std,recent_payment_amount,recent_bill_amount,recent_payment_ratio,payment_behavior_score,payment_success,payment_failure
200000,2,3,2,34,0,0,2,0,0,-1,11073,9787,5535,2513,1828,3731,2306,12,50,300,3738,66,0,1,2,0.3333333333333333,0,5744.5,1078.6666666666667,34467,6472,0.187773812632373,0.0287225,5744.5,1575.1920094600107,2306,11073,0.20825431229115868,0.9583333333333334,1,0
260000,2,1,2,51,-1,-1,-1,-1,-1,2,12261,21670,9966,8517,22287,13668,21818,9966,8583,22301,0,3640,0,1,2,0.3333333333333333,0,14728.166666666666,11051.333333333334,88369,66308,0.7503536307981306,0.05664679487179487,14728.166666666666,9239.118565462111,21818,12261,1.7794633390424925,0.9583333333333334,1,0
630000,2,2,2,41,-1,0,-1,-1,-1,-1,12137,6500,6500,6500,6500,2870,1000,6500,6500,6500,2870,0,0,0,0,0.0,0,6834.5,3895.0,41007,23370,0.5699026995391031,0.0108484126984127,6834.5,2998.691381252829,1000,12137,0.08239268352970257,1.0,1,0
70000,1,2,2,30,1,2,2,0,0,2,65802,67369,65701,66782,36137,36894,3200,0,3000,3000,1500,0,1,4,2,1.1666666666666667,1,56447.5,1783.3333333333333,338685,10700,0.03159277795001255,0.8063928571428571,56447.5,1510.5186747162932,3200,65802,0.04863074070696939,0.8541666666666666,0,1
250000,1,1,2,29,0,0,0,0,0,0,70887,67060,63561,59696,56875,55512,3000,3000,3000,3000,3000,3000,0,0,0,0.0,0,62265.166666666664,3000.0,373591,18000,0.04818103219831313,0.24906066666666665,62265.166666666664,0.0,3000,70887,0.04232087688856913,1.0,1,0
50000,2,3,3,23,1,2,0,0,0,0,50614,29173,28116,28771,29531,30211,0,1500,1100,1200,1300,1100,0,2,2,0.5,1,32736.0,1033.3333333333333,196416,6200,0.03156565656565657,0.65472,32736.0,527.888877195444,0,50614,0.0,0.9375,1,0
20000,1,1,2,24,0,0,2,2,2,2,15376,18010,17428,18338,17905,19104,3200,0,1500,0,1650,0,1,4,2,1.3333333333333333,0,17693.5,1058.3333333333333,106161,6350,0.059814809581673116,0.884675,17693.5,1303.2331589806436,3200,15376,0.2081165452653486,0.8333333333333334,0,1
320000,1,1,1,49,0,0,0,-1,-1,-1,253286,246536,194663,70074,5856,195599,10358,10000,75940,20000,195599,50000,0,0,0,0.0,0,161002.33333333334,60316.166666666664,966014,361897,0.37462914616144277,0.5031322916666667,161002.33333333334,71140.56620077371,10358,253286,0.04089448291654493,1.0,1,0
360000,2,1,1,49,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.16666666666666666,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.9791666666666666,1,0
180000,2,1,2,29,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.16666666666666666,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.9791666666666666,1,0
130000,2,3,2,39,0,0,0,0,0,-1,38358,27688,24489,20616,11802,930,3000,1537,1000,2000,930,33764,0,0,0,0.0,0,20647.166666666668,7038.5,123883,42231,0.34089423084684745,0.15882435897435898,20647.166666666668,13114.816594218923,3000,38358,0.0782105427811669,1.0,1,0
120000,2,2,1,39,-1,-1,-1,-1,-1,-1,316,316,316,0,632,316,316,316,0,632,316,0,1,0,0,0.0,0,316.0,263.3333333333333,1896,1580,0.8333333333333334,0.0026333333333333334,316.0,237.8761582560696,316,316,1.0,1.0,0,1
70000,2,2,2,26,2,0,0,2,2,2,41087,42445,45020,44006,46905,46012,2007,3582,0,3601,0,1820,1,4,2,1.3333333333333333,2,44245.833333333336,1835.0,265475,11010,0.04147283171673415,0.6320833333333333,44245.833333333336,1608.4168613888626,2007,41087,0.04884756735707158,0.8333333333333334,0,1
450000,2,1,1,40,-2,-2,-2,-2,-2,-2,5512,19420,1473,560,0,0,19428,1473,560,0,0,1128,1,0,0,0.0,0,4494.166666666667,3764.8333333333335,26965,22589,0.8377155572037827,0.009987037037037037,4494.166666666667,7696.220849655152,19428,5512,3.5246734397677795,1.0,0,1
90000,1,1,2,23,0,0,0,-1,0,0,4744,7070,0,5398,6360,8292,5757,0,5398,1200,2045,2000,0,0,0,0.0,0,5310.666666666667,2733.3333333333335,31864,16400,0.5146874215415516,0.05900740740740741,5310.666666666667,2327.093093682903,5757,4744,1.2135328836424957,1.0,1,0
50000,1,3,2,23,0,0,0,0,0,0,47620,41810,36023,28967,29829,30046,1973,1426,1001,1432,1062,997,0,0,0,0.0,0,35715.833333333336,1315.1666666666667,214295,7891,0.036823071000256655,0.7143166666666667,35715.833333333336,380.18491115070134,1973,47620,0.041432171356572865,1.0,1,0
60000,1,1,2,27,1,-2,-1,-1,-1,-1,-109,-425,259,-57,127,-189,0,1000,0,500,0,1000,1,1,1,0.16666666666666666,1,-65.66666666666667,416.6666666666667,-394,2500,0.0,0.0010722222222222222,64.33333333333333,491.59604012508754,0,-109,0.0,0.9791666666666666,0,1
50000,2,3,2,30,0,0,0,0,0,0,22541,16138,17163,17878,18931,19617,1300,1300,1000,1500,1000,1012,0,0,0,0.0,0,18711.333333333332,1185.3333333333333,112268,7112,0.06334841628959276,0.37422666666666665,18711.333333333332,211.6853010170207,1300,22541,0.05767268532895613,1.0,1,0
50000,2,3,1,47,-1,-1,-1,-1,-1,-1,650,3415,3416,2040,30430,257,3415,3421,2044,30430,257,0,0,0,0,0.0,0,6701.333333333333,6594.5,40208,39567,0.9840578989255869,0.13402666666666666,6701.333333333333,11770.04477051808,3415,650,5.0,1.0,1,0
50000,1,1,2,26,0,0,0,0,0,0,15329,16575,17496,17907,18375,11400,1500,1500,1000,1000,1600,0,0,0,0,0.0,0,16180.333333333334,1100.0,97082,6600,0.06798376630065306,0.32360666666666665,16180.333333333334,600.0,1500,15329,0.09785374127470807,1.0,1,0
230000,2,1,2,27,-1,-1,-1,-1,-1,-1,16646,17265,13266,15339,14307,36923,17270,13281,15339,14307,37292,0,0,0,0,0.0,0,18957.666666666668,16248.166666666666,113746,97489,0.8570762927927136,0.08242463768115943,18957.666666666668,12010.734988611925,17270,16646,1.0374864832392166,1.0,1,0
50000,1,2,2,33,2,0,0,0,0,0,30518,29618,22102,22734,23217,23680,1718,1500,1000,1000,1000,716,1,1,2,0.3333333333333333,2,25311.5,1155.6666666666667,151869,6934,0.04565777084197565,0.50623,25311.5,374.376103225976,1718,30518,0.0562946457828167,0.9583333333333334,0,1
100000,1,1,2,32,0,0,0,0,0,0,93036,84071,82880,80958,78703,75589,3023,3511,3302,3204,3200,2504,0,0,0,0.0,0,82539.5,3124.0,495237,18744,0.037848545241975055,0.825395,82539.5,342.9956267942785,3023,93036,0.032492798486607334,1.0,1,0
500000,2,2,1,54,-2,-2,-2,-2,-2,-2,10929,4152,22722,7521,71439,8981,4152,22827,7521,71439,981,51582,0,0,0,0.0,0,20957.333333333332,26417.0,125744,158502,1.2605134240997582,0.04191466666666666,20957.333333333332,28889.184640622865,4152,10929,0.3799066703266539,1.0,1,0
500000,1,1,1,58,-2,-2,-2,-2,-2,-2,13709,5006,31130,3180,0,5293,5006,31178,3180,0,5293,768,0,0,0,0.0,0,9719.666666666666,7570.833333333333,58318,45425,0.7789190301450667,0.019439333333333333,9719.666666666666,11763.848765037177,5006,13709,0.3651615726894741,1.0,1,0
160000,1,1,2,30,-1,-1,-2,-2,-2,-1,30265,-131,-527,-923,-1488,-1884,131,396,396,565,792,0,0,0,0,0.0,0,4218.666666666667,380.0,25312,2280,0.09007585335018964,0.03152604166666667,5044.166666666667,286.6642635558189,131,30265,0.004328432182388898,1.0,1,0
280000,1,2,1,40,0,0,0,0,0,0,186503,181328,180422,170410,173901,177413,8026,8060,6300,6400,6400,6737,0,0,0,0.0,0,178329.5,6987.166666666667,1069977,41923,0.03918121604483087,0.6368910714285714,178329.5,831.1987528062507,8026,186503,0.04303416030841327,1.0,1,0
60000,2,2,2,22,0,0,0,0,0,-1,15054,9806,11068,6026,-28335,18660,1500,1518,2043,0,47671,617,0,0,0,0.0,0,5379.833333333333,8891.5,32279,53349,1.6527463676074228,0.16837222222222223,10102.333333333334,19011.998682411064,1500,15054,0.0996412913511359,1.0,1,0
50000,1,1,2,25,1,-1,-1,-2,-2,-2,0,780,0,0,0,0,780,0,0,0,0,0,1,1,1,0.16666666666666666,1,130.0,130.0,780,780,1.0,0.0026,130.0,318.43366656181314,780,0,0.0,0.9791666666666666,0,1
280000,1,1,2,31,-1,-1,2,-1,0,-1,498,9075,4641,9976,17976,9477,9075,0,9976,8000,9525,781,0,1,2,0.3333333333333333,0,8607.166666666666,6226.166666666667,51643,37357,0.7233700598338594,0.03073988095238095,8607.166666666666,4574.295111453421,9075,498,5.0,0.9583333333333334,1,0
360000,1,1,2,33,0,0,0,0,0,0,218668,221296,206895,628699,195969,179224,10000,7000,6000,188840,28000,4000,0,0,0,0.0,0,275125.1666666667,40640.0,1650751,243840,0.1477145856643431,0.7642365740740741,275125.1666666667,73124.3981171811,10000,218668,0.04573142846689959,1.0,1,0
70000,2,1,2,25,0,0,0,0,0,0,67521,66999,63949,63699,64718,65970,3000,4500,4042,2500,2800,2500,0,0,0,0.0,0,65476.0,3223.6666666666665,392856,19342,0.049234325045309224,0.9353714285714285,65476.0,845.6480749500154,3000,67521,0.044430621584395966,1.0,1,0
10000,1,2,2,22,0,0,0,0,0,0,1877,3184,6003,3576,3670,4451,1500,2927,1000,300,1000,500,0,0,0,0.0,0,3793.5,1204.5,22761,7227,0.31751680506128904,0.37935,3793.5,943.653273188834,1500,1877,0.7991475759190197,1.0,1,0
140000,2,2,1,37,0,0,0,0,0,0,59504,61544,62925,64280,67079,69802,3000,3000,3000,4000,4000,3000,0,0,0,0.0,0,64189.0,3333.3333333333335,385134,20000,0.05192997761817965,0.45849285714285715,64189.0,516.3977794943222,3000,59504,0.050416778703952676,1.0,1,0
40000,2,1,2,30,0,0,0,2,0,0,18927,21295,25921,25209,26636,29197,3000,5000,0,2000,3000,0,0,1,2,0.3333333333333333,0,24530.833333333332,2166.6666666666665,147185,13000,0.08832421782110948,0.6132708333333333,24530.833333333332,1940.7902170679517,3000,18927,0.1585037248375337,0.9583333333333334,1,0
210000,1,1,2,29,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0,1
20000,2,1,2,22,0,0,2,-1,0,0,14028,16484,15800,16341,16675,0,3000,0,16741,334,0,0,1,1,2,0.3333333333333333,0,13221.333333333334,3345.8333333333335,79328,20075,0.25306323114158935,0.6610666666666667,13221.333333333334,6666.408820846998,3000,14028,0.21385799828913601,0.9583333333333334,0,1
150000,2,4,2,46,0,0,-1,0,0,-2,4463,3034,1170,1170,0,0,1013,1170,0,0,0,0,1,0,0,0.0,0,1639.5,363.8333333333333,9837,2183,0.22191725119446987,0.01093,1639.5,565.8305105476963,1013,4463,0.22697736948241093,1.0,0,1
380000,1,2,2,32,-1,-1,-1,-1,-1,-1,22401,21540,15134,32018,11849,11873,21540,15138,24677,11851,11875,8251,0,0,0,0.0,0,19135.833333333332,15555.333333333334,114815,93332,0.8128903017898358,0.05035745614035087,19135.833333333332,6321.636328251307,21540,22401,0.9615642158832195,1.0,1,0
20000,1,1,2,24,0,0,0,0,0,0,17447,18479,19476,19865,20480,20063,1318,1315,704,928,912,1069,0,0,0,0.0,0,19301.666666666668,1041.0,115810,6246,0.05393316639323029,0.9650833333333334,19301.666666666668,243.13288547623497,1318,17447,0.075543073307732,1.0,1,0
70000,1,3,2,42,1,2,2,2,2,0,37042,36171,38355,39423,38659,39362,0,3100,2000,0,1500,1500,1,5,2,1.5,1,38168.666666666664,1350.0,229012,8100,0.03536932562485809,0.5452666666666667,38168.666666666664,1197.914855071094,0,37042,0.0,0.8125,0,1
100000,2,3,3,43,0,0,0,0,0,0,61559,51163,43824,39619,35762,33258,2000,1606,1500,2000,1500,1000,0,0,0,0.0,0,44197.5,1601.0,265185,9606,0.03622376831268737,0.441975,44197.5,374.17375642874794,2000,61559,0.03248915674393671,1.0,1,0
310000,2,2,1,49,-2,-2,-2,-2,-2,-2,13465,7867,7600,11185,3544,464,7875,7600,11185,3544,464,0,0,0,0,0.0,0,7354.166666666667,5111.333333333333,44125,30668,0.6950254957507083,0.023723118279569893,7354.166666666667,4492.231323815223,7875,13465,0.5848496101002599,1.0,1,0
180000,2,1,2,25,1,2,0,0,0,0,41402,41742,42758,43510,44420,45319,1300,2010,1762,1762,1790,1622,0,2,2,0.5,1,43191.833333333336,1707.6666666666667,259151,10246,0.03953679515031777,0.23995462962962966,43191.833333333336,235.63502852221836,1300,41402,0.03139944930196609,0.9375,1,0
150000,2,1,2,29,2,0,0,0,0,0,46224,34993,31434,26518,21042,16540,1600,1718,1049,1500,2000,5000,0,1,2,0.3333333333333333,2,29458.5,2144.5,176751,12867,0.07279732505049476,0.19639,29458.5,1433.0836332887204,1600,46224,0.034614053305642094,0.9583333333333334,1,0
500000,2,1,1,45,-2,-2,-2,-2,-2,-2,1905,3640,162,0,151,2530,3640,162,0,151,2530,0,0,0,0,0.0,0,1398.0,1080.5,8388,6483,0.772889842632332,0.002796,1398.0,1593.4028680782524,3640,1905,1.9107611548556431,1.0,1,0
180000,2,3,1,34,0,0,0,-1,-1,-1,16386,15793,8441,7142,-679,8321,8500,1500,7500,679,9000,2000,0,0,0,0.0,0,9234.0,4863.166666666667,55404,29179,0.5266587250018049,0.0519287037037037,9347.166666666666,3855.092757206585,8500,16386,0.5187355059196875,1.0,1,0
180000,2,2,1,34,0,0,0,0,0,0,175886,173440,172308,168608,132202,129918,8083,7296,5253,4814,4816,3800,0,0,0,0.0,0,158727.0,5677.0,952362,34062,0.03576581173965362,0.8818166666666667,158727.0,1649.1811301370144,8083,175886,0.04595590325551778,1.0,1,0
200000,2,1,2,34,-1,3,2,2,2,2,1587,1098,782,1166,700,1414,0,0,700,0,1200,0,0,5,3,1.8333333333333333,0,1124.5,316.6666666666667,6747,1900,0.2816066399881429,0.0056225,1124.5,515.4286242213044,0,1587,0.0,0.7708333333333334,1,0
400000,2,2,1,29,0,0,0,0,0,0,400134,398857,404205,360199,356656,364089,17000,15029,30000,12000,12000,23000,0,0,0,0.0,0,380690.0,18171.5,2284140,109029,0.047733063647587275,0.951725,380690.0,7080.259423213249,17000,400134,0.042485767267965234,1.0,1,0
500000,2,3,1,28,0,0,0,0,0,0,22848,23638,18878,14937,13827,15571,1516,1300,1000,1000,2000,2000,1,0,0,0.0,0,18283.166666666668,1469.3333333333333,109699,8816,0.08036536340349502,0.03656633333333333,18283.166666666668,454.8875318874619,1516,22848,0.0663515406162465,1.0,0,1
70000,1,2,1,39,0,0,0,0,0,-1,70800,72060,69938,16518,14096,830,4025,2095,1000,2000,3000,0,0,0,0,0.0,0,40707.0,2020.0,244242,12120,0.049622914977767954,0.5815285714285714,40707.0,1421.7770570662617,4025,70800,0.0568502824858757,1.0,1,0
50000,1,1,2,29,2,2,2,2,2,2,24987,24300,26591,25865,27667,28264,0,2700,0,2225,1200,0,1,6,2,2.0,2,26279.0,1020.8333333333334,157674,6125,0.03884597333739234,0.52558,26279.0,1218.8536280729802,0,24987,0.0,0.75,0,1
50000,2,2,1,46,0,0,0,-2,-2,-2,28718,29166,0,0,0,0,1000,0,0,0,0,0,1,0,0,0.0,0,9647.333333333334,166.66666666666666,57884,1000,0.017275931172690207,0.19294666666666668,9647.333333333334,408.248290463863,1000,28718,0.03482136639041716,1.0,0,1
130000,2,2,1,51,-1,-1,-2,-2,-1,-1,99,0,0,0,2353,0,0,0,0,2353,0,0,0,0,0,0.0,0,408.6666666666667,392.1666666666667,2452,2353,0.9596247960848288,0.0031435897435897436,408.6666666666667,960.6082274614695,0,99,0.0,1.0,1,0
200000,1,1,1,57,-2,-2,-2,-1,2,2,152519,148751,144076,8174,8198,7918,0,0,8222,300,0,1000,1,2,2,0.6666666666666666,0,78272.66666666667,1587.0,469636,9522,0.020275277023056155,0.39136333333333334,78272.66666666667,3273.526233284224,0,152519,0.0,0.9166666666666666,0,1
10000,1,2,1,56,2,2,2,0,0,0,2097,4193,3978,4062,4196,4326,2300,0,150,200,200,160,1,3,2,1.0,2,3808.6666666666665,501.6666666666667,22852,3010,0.13171713635568003,0.38086666666666663,3808.6666666666665,884.0908701409978,2300,2097,1.0968049594659037,0.875,0,1
210000,2,1,2,30,2,-1,-1,-1,-1,-1,300,300,1159,2280,300,4250,300,1159,2280,300,4250,909,0,1,2,0.3333333333333333,2,1431.5,1533.0,8589,9198,1.0709046454767726,0.006816666666666667,1431.5,1517.229580518387,300,300,1.0,0.9583333333333334,1,0
130000,2,3,2,29,1,-2,-2,-1,2,-1,-190,-9850,-9850,10311,10161,7319,0,0,20161,0,7319,13899,0,2,2,0.5,1,1316.8333333333333,6896.5,7901,41379,5.0,0.035629487179487176,4631.833333333333,8577.244423473077,0,-190,0.0,0.9375,1,0
20000,1,4,2,22,2,0,0,0,0,0,18565,17204,17285,18085,11205,5982,0,1200,1000,500,1000,0,0,1,2,0.3333333333333333,2,14721.0,616.6666666666666,88326,3700,0.0418902701356339,0.73605,14721.0,530.722777603022,0,18565,0.0,0.9583333333333334,1,0
80000,1,1,2,31,-1,-1,-1,-1,-1,-1,780,0,390,390,390,390,0,390,390,390,390,390,0,0,0,0.0,0,390.0,325.0,2340,1950,0.8333333333333334,0.004875,390.0,159.21683328090657,0,780,0.0,1.0,1,0
320000,1,2,2,29,2,2,2,2,2,2,58267,59246,60184,58622,62307,63526,2500,2500,0,4800,2400,1600,1,6,2,2.0,2,60358.666666666664,2300.0,362152,13800,0.0381055468422099,0.18862083333333332,60358.666666666664,1556.920036482285,2500,58267,0.04290593303241972,0.75,0,1
200000,2,2,1,32,-1,-1,-1,-1,2,-1,9076,5787,-684,5247,3848,3151,5818,15,9102,17,3165,1395,0,1,2,0.3333333333333333,0,4404.166666666667,3252.0,26425,19512,0.7383916745506149,0.022590833333333334,4518.166666666667,3611.267589088352,5818,9076,0.6410312913177612,0.9583333333333334,1,0
290000,2,1,2,37,1,-2,-1,-1,-1,-1,0,0,3155,0,2359,0,0,3155,0,2359,0,0,0,1,1,0.16666666666666666,1,919.0,919.0,5514,5514,1.0,0.0031689655172413792,919.0,1445.789749583251,0,0,0.0,0.9791666666666666,1,0
340000,1,1,2,32,-1,-1,-1,-1,-1,-1,3048,5550,23337,4291,80153,25820,5713,23453,4314,80552,25949,2016,0,0,0,0.0,0,23699.833333333332,23666.166666666668,142199,141997,0.9985794555517268,0.06970539215686274,23699.833333333332,29687.731697902866,5713,3048,1.8743438320209973,1.0,1,0
20000,1,2,2,24,0,0,2,0,0,0,14619,17216,16642,16976,17332,18543,2850,0,610,630,1500,0,0,1,2,0.3333333333333333,0,16888.0,931.6666666666666,101328,5590,0.055167377230380545,0.8444,16888.0,1089.3560789138999,2850,14619,0.19495177508721526,0.9583333333333334,1,0
50000,1,3,2,25,-1,0,0,0,0,0,42838,37225,36087,9636,9590,10030,1759,1779,320,500,1000,1000,0,0,0,0.0,0,24234.333333333332,1059.6666666666667,145406,6358,0.043725843500268216,0.48468666666666665,24234.333333333332,612.2027986432818,1759,42838,0.041061674214482466,1.0,1,0
300000,2,1,1,45,-1,-1,-1,-1,-1,-1,291,291,291,291,291,291,291,291,291,291,291,291,0,0,0,0.0,0,291.0,291.0,1746,1746,1.0,0.00097,291.0,0.0,291,291,1.0,1.0,1,0
30000,2,2,2,22,0,0,0,0,0,0,28387,29612,30326,28004,26446,6411,1686,1400,560,3000,1765,0,1,0,0,0.0,0,24864.333333333332,1401.8333333333333,149186,8411,0.05637928491949647,0.828811111111111,24864.333333333332,1043.1299855083578,1686,28387,0.05939338429562828,1.0,0,1
240000,2,2,2,44,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.16666666666666666,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.9791666666666666,0,1
470000,2,3,3,33,0,0,0,0,0,0,165254,157784,162702,69923,29271,29889,6400,7566,3000,960,1000,3000,0,0,0,0.0,0,102470.5,3654.3333333333335,614823,21926,0.03566229630316368,0.21802234042553192,102470.5,2756.847595835988,6400,165254,0.03872826073801542,1.0,1,0
360000,2,1,2,26,0,0,0,0,0,-1,23411,27796,30400,33100,180000,196,4796,3400,3100,146900,196,2963,0,0,0,0.0,0,49150.5,26892.5,294903,161355,0.5471460107221696,0.13652916666666667,49150.5,58810.475365363265,4796,23411,0.2048609627952672,1.0,1,0
60000,1,3,2,30,0,0,0,0,0,0,26324,27471,28108,21993,19899,19771,1576,1213,648,768,1140,0,1,0,0,0.0,0,23927.666666666668,890.8333333333334,143566,5345,0.03723026343284622,0.39879444444444445,23927.666666666668,548.2643218983583,1576,26324,0.059869320771919164,1.0,0,1
400000,2,2,1,44,0,0,2,0,0,0,131595,139060,126819,104430,104990,94058,10700,3,3050,3000,3200,2800,0,1,2,0.3333333333333333,0,116825.33333333333,3792.1666666666665,700952,22753,0.03246013992398909,0.29206333333333334,116825.33333333333,3594.1435929393065,10700,131595,0.08131008017021923,0.9583333333333334,1,0
50000,2,3,2,49,0,0,0,0,0,0,48909,47863,21489,20414,19342,19482,1676,1302,700,699,849,826,0,0,0,0.0,0,29583.166666666668,1008.6666666666666,177499,6052,0.03409596673784078,0.5916633333333333,29583.166666666668,395.3245080521402,1676,48909,0.03426772168721503,1.0,1,0
160000,1,2,2,33,0,0,0,0,0,0,130028,107808,71934,118418,118407,120418,4400,3547,80000,4500,4800,4500,0,0,0,0.0,0,111168.83333333333,16957.833333333332,667013,101747,0.15254125481812197,0.6948052083333333,111168.83333333333,30887.125281687622,4400,130028,0.03383886547512843,1.0,1,0
360000,2,1,1,45,-1,-1,2,0,-1,-1,390,1170,780,390,390,390,1170,0,0,390,390,390,1,1,2,0.3333333333333333,0,585.0,390.0,3510,2340,0.6666666666666666,0.001625,585.0,427.22359485402956,1170,390,3.0,0.9583333333333334,0,1
160000,2,2,2,32,0,0,0,0,0,-1,3826,4751,6604,8604,7072,766,1147,2000,2000,0,766,2303,0,0,0,0.0,0,5270.5,1369.3333333333333,31623,8216,0.2598108971318344,0.032940625,5270.5,889.4640333744062,1147,3826,0.29979090433873495,1.0,1,0
130000,2,1,1,35,0,0,0,-1,-1,-1,81313,117866,17740,1330,7095,1190,40000,5000,1330,7095,1190,2090,0,0,0,0.0,0,37755.666666666664,9450.833333333334,226534,56705,0.25031562591045936,0.2904282051282051,37755.666666666664,15145.841811093454,40000,81313,0.491926260253588,1.0,1,0
20000,1,3,2,44,2,2,0,0,0,2,8583,8303,9651,10488,12314,11970,0,1651,1000,2000,0,1500,0,3,2,1.0,2,10218.166666666666,1025.1666666666667,61309,6151,0.10032784746122103,0.5109083333333333,10218.166666666666,856.7380968923155,0,8583,0.0,0.875,1,0
200000,1,1,1,53,2,2,2,2,2,2,138180,140774,142460,144098,147124,149531,6300,5500,5500,5500,5000,5000,1,6,2,2.0,2,143694.5,5466.666666666667,862167,32800,0.03804367367342986,0.7184725,143694.5,476.09522856952333,6300,138180,0.04559270516717325,0.75,0,1
280000,2,1,2,39,-1,-1,-1,0,0,-2,7524,0,3968,3868,0,0,0,3968,0,0,0,0,0,0,0,0.0,0,2560.0,661.3333333333334,15360,3968,0.25833333333333336,0.009142857142857144,2560.0,1619.9292165606084,0,7524,0.0,1.0,1,0
